Date,Midcoast,JW Group,Heartbreakers FC,The Real Portland Timbers,One Love FC,Duppy Conquerors,Thunder FC,The Escape Room,Farmers FC,Lone Pine,U Gonna Learn Today,Portland Phoenix FC,Old Port FC,Yankee Ford Sporting Club,Carlos Auto Repair,Baxter Pines FC
2023-06-08,,,125.95150048508395,,29.945256937641137,31.445836265816972,161.78263839851667,31.261338061871125,38.32398353871803,29.63562812767386,34.861237388367215,,,,,
2023-06-13,,,125.95150048508395,,29.008329829389133,31.445836265816972,160.77976518625061,30.72159658372938,37.28033511181482,29.63562812767386,34.861237388367215,,,,,
2023-06-15,,,112.15936006719083,,29.008329829389133,31.28546414509923,160.77976518625061,30.72159658372938,37.28033511181482,28.99131393093286,33.77235659529423,,,,,
2023-06-20,,,112.15936006719083,,29.008329829389133,30.662005456006014,161.71252732929898,30.72159658372938,36.183812769417244,28.99131393093286,31.969231153345756,,,,,
2023-06-22,,,102.50788716404669,,28.44496352826909,30.662005456006014,161.71252732929898,30.04018981722612,36.183812769417244,28.878289172111987,31.969231153345756,,,,,
2023-06-27,,,102.50788716404669,,28.44496352826909,30.100858784990052,161.71252732929898,29.780665899271007,36.183812769417244,28.42001623091462,31.644112544251577,,,,,
2023-06-29,,,94.39318958664418,,28.039501796192724,30.100858784990052,159.98414502237387,29.780665899271007,35.28428942059509,28.42001623091462,31.644112544251577,,,,,
2023-07-06,,,94.39318958664418,,27.632464701428432,29.581852654989206,159.98414502237387,29.780665899271007,34.732937386372996,28.42001623091462,31.262247345528834,,,,,
2023-07-11,,,89.20750529293962,,27.632464701428432,29.581852654989206,159.98414502237387,29.31497439784669,34.51927723036002,28.02375257650286,31.262247345528834,,,,,
2023-07-13,,,89.20750529293962,,27.335055768469424,28.68962928022528,159.24717341348497,29.31497439784669,34.51927723036002,28.02375257650286,30.802945149645076,,,,,
2023-07-18,,,86.25075717338974,,27.3011702833606,28.68962928022528,159.24717341348497,29.31497439784669,33.67173818645641,27.599536682080263,30.802945149645076,,,,,
2023-07-20,,,86.25075717338974,,27.3011702833606,28.41667995680542,158.74333215110772,28.66257111509082,33.67173818645641,27.599536682080263,30.45024020413144,,,,,
2023-07-25,,,85.31898457988467,,27.3011702833606,28.41667995680542,158.50389213423847,28.66257111509082,32.241243401010315,27.599536682080263,30.454145898907463,,,,,
2023-07-27,,,85.31898457988467,,26.9537934861576,28.03579345060904,158.50389213423847,28.269994581644124,32.241243401010315,27.238395450057688,30.454145898907463,,,,,
2023-08-01,,,82.17896729919353,,26.9537934861576,27.97463276688244,158.50389213423847,27.935638192617386,31.715003045818392,27.238395450057688,30.454145898907463,,,,,
2023-08-03,,,82.17896729919353,,26.301143767157726,27.97463276688244,157.7634795328482,27.935638192617386,31.715003045818392,27.032228947041943,30.140348261343362,,,,,
2023-08-08,,,68.03160266592133,,26.05818778720206,27.97463276688244,157.7634795328482,27.630957689502395,31.715003045818392,26.616478643906603,30.140348261343362,,,,,
2023-08-10,,,68.03160266592133,,26.05818778720206,27.316883037160924,157.8639201770555,27.630957689502395,30.725448448079284,26.616478643906603,29.514041848816422,,,,,
2023-08-15,,,64.85559139593074,,25.719021958876898,27.316883037160924,157.7602027791942,27.630957689502395,30.126521387462475,26.616478643906603,29.514041848816422,,,,,
2023-08-17,,,64.85559139593074,,25.719021958876898,26.94889655829423,157.7602027791942,27.50597073433283,30.126521387462475,26.281256972393926,29.34758539015697,,,,,
2023-08-22,,,64.85559139593074,,25.38395156585283,26.552765558114267,157.7602027791942,27.50597073433283,29.76749640250668,26.281256972393926,29.02043467577592,,,,,
